advertiser_id	party
176162472746546	Die Grünen
179008035494902	CDU/CSU
134949526609	Die Linke
429151107914173	Die Linke
105538111224943	FDP
1434900080123368	FDP
338599714529	CDU/CSU
148947885200320	SPD
213350178783127	Die Grünen
219543768212516	CDU/CSU
145515688966492	SPD
435498820171377	AfD
1272716742745722	AfD
423656078410758	FDP
174477236363611	SPD
236167806599	FDP
215208201837235	SPD
105859672879525	Die Linke
149270358678	FDP
187076251316977	Die Grünen
1114976811888031	AfD
1091084444370680	CDU/CSU
336411649884404	Die Linke
875219582559540	AfD
430022293786591	FDP
397783603998514	CDU/CSU
1394868750731940	AfD
102763253131232	Die Grünen
763910583697170	FDP
100151881923406	CDU/CSU
231026083599649	FDP
1054027864699072	Die Grünen
390959455239	CDU/CSU
477694382345549	FDP
103243528044598	CDU/CSU
198847140155370	FDP
402456680188904	FDP
1347183115342653	SPD
254611358001316	CDU/CSU
137150642993637	CDU/CSU
475264629229879	SPD
259468944145779	Die Grünen
101682598121789	SPD
100238801487587	SPD
605311632851649	CDU/CSU
2118608965082575	SPD
113695727050771	SPD
371245232916381	SPD
1532055887085177	Die Grünen
433963470029816	CDU/CSU
300180393433421	Die Linke
551397591563704	AfD
352960862019689	CDU/CSU
186679911355970	CDU/CSU
257513501590942	Die Grünen
219103215691393	SPD
244323896014944	CDU/CSU
212051698829743	Die Grünen
291050360971486	SPD
112359890325724	FDP
744802515627357	CDU/CSU
845651642144776	CDU/CSU
366008633563944	Die Grünen
159069494611423	CDU/CSU
301320926723050	CDU/CSU
136484520516705	Andere Parteien
326767781231769	CDU/CSU
171214489647009	SPD
348699331870823	Die Grünen
127019494034914	CDU/CSU
819446194738091	CDU/CSU
153895211316787	FDP
570893299597210	AfD
652977334744486	Die Grünen
183702711674959	SPD
906048772822472	AfD
610445905785180	AfD
184436841621919	SPD
1542723075785725	Die Grünen
603634313391933	Die Grünen
602583966540784	SPD
113091008215	Die Grünen
116035088478181	FDP
1125331980862292	SPD
350331198317578	CDU/CSU
112786405463390	CDU/CSU
400419253349131	CDU/CSU
122038517830943	FDP
214090475363617	FDP
915579291846789	SPD
744055308985961	CDU/CSU
106357207749844	CDU/CSU
576487762417528	Andere Parteien
1567510656812562	CDU/CSU
751988698149135	AfD
135213656531484	CDU/CSU
738855383168262	SPD
224740450901646	FDP
442544569140057	SPD
309279412497729	SPD
749209888530989	Die Grünen
104303913261902	FDP
307135309321563	CDU/CSU
2273848225970175	SPD
619097101499466	FDP
430979060295502	SPD
288765681950874	SPD
947929218605062	SPD
271352156228399	FDP
312639988865192	AfD
138137562908366	CDU/CSU
151877538338425	Andere Parteien
148358945290581	FDP
103167695032246	Die Grünen
214065808453	SPD
103169071775170	Die Grünen
1183720371792072	SPD
2227491567500477	CDU/CSU
547599508600386	CDU/CSU
384696485057458	Andere Parteien
303842359685570	Die Linke
241850379587986	SPD
106287257678159	Die Grünen
108173798605	SPD
102061707856542	SPD
408356325884227	FDP
103950034444585	SPD
262909053798327	SPD
344407168999772	FDP
101001938128959	SPD
998600530167370	SPD
1778467409144542	SPD
252649975617800	FDP
672243562803282	SPD
144465028943351	SPD
609789889035057	SPD
590870424277747	CDU/CSU
200859259953900	SPD
700061267040760	FDP
406643779352037	FDP
1528582510743731	SPD
1418966561649695	CDU/CSU
211525469016943	Die Grünen
208377339290284	FDP
1907980712634073	Die Grünen
217852448265342	SPD
195589923029	Die Grünen
683265332109614	CDU/CSU
301317059902828	SPD
155752517828501	Die Grünen
105707997635295	Die Grünen
587187618113777	SPD
90523314133	Andere Parteien
211336808931412	Die Grünen
163857547085395	Andere Parteien
619473634775212	CDU/CSU
102814784693051	CDU/CSU
108455804029490	CDU/CSU
198852450229768	CDU/CSU
111091417301264	CDU/CSU
102867994459198	CDU/CSU
191022350968802	CDU/CSU
196532870398785	Die Grünen
10150146529760054	CDU/CSU
356513637708676	CDU/CSU
202306659916912	FDP
251807408169241	SPD
204155906325167	FDP
262759890577614	SPD
703294609702812	CDU/CSU
293486467392372	SPD
173177039386325	CDU/CSU
1631912867025017	FDP
100728913356	FDP
2170348116610931	FDP
122887367733027	FDP
113064637156909	SPD
115707626621	Die Linke
104959239627407	Die Grünen
101646155027362	SPD
221735951207012	Die Grünen
107834645951975	SPD
352389274800396	SPD
368934023168629	CDU/CSU
713078202050766	SPD
1681677775437875	SPD
164640977213209	CDU/CSU
156215317771334	SPD
62772136958	CDU/CSU
253060498157297	CDU/CSU
188563151156073	CDU/CSU
121015637940058	SPD
112401330456165	SPD
109582777314790	CDU/CSU
441278912673400	SPD
221122018094005	Die Grünen
282664988517132	SPD
117550746354407	CDU/CSU
106187034782341	Die Grünen
370422547208084	SPD
106565771050950	SPD
373566126062362	FDP
206627416208075	SPD
